標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
M＆G北美股息基金A(美元月配)F(本基金配息來源可能為本金且並無保證收益及配息),MMG73-TF6E,美元,股票型,2024/03/06,RR4,月配,2026/09/01,113.0474,2.1,7.51,10.15,N/A,N/A,11.94,0.22,0.78,2026/06/30,388.00百萬,,
M＆G ESG巴黎協議全球永續股票基金A(美元年配)(本基金配息來源可能為本金),MMG25-TF6F,美元,股票型,2018/11/09,RR3,年配,2026/09/01,42.8319,4.08,6.84,9.59,34.66,108.18,12.41,0.2,0.86,2026/06/30,315.00百萬,1.5,ESG基金
富達基金－全球優質債券基金(A股C月配息美元)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),FTZX0-TF6G,美元,債券型,2020/04/22,RR2,月配,2026/09/01,7.986,-0.37,-1.08,2.57,21.44,26.03,3.27,0.18,0.89,2026/06/30,"4,396.00百萬",4.5,
富達基金－永續發展全球存股優勢基金(A股C月配息美元)(本基金之配息來源可能為本金且並無保證收益及配息),FTZA40-TF6H,美元,股票型,2021/11/10,RR3,月配,2026/09/01,10.5,2.79,0.96,13.6,55.17,53.48,12.09,0.31,0.24,2026/06/30,"2,930.00百萬",3,
富達基金－美元現金基金(A股【F1穩定月配息】美元)(本基金之配息來源可能為本金),FTZA75-TF6J,美元,貨幣型,2023/07/26,RR1,月配,2026/09/01,9.8996,0.6,1.5,3.45,13.87,14.47,0.07,15.09,-0.0004,2026/06/30,"2,900.00百萬",3.5,
富蘭克林華美多重資產收益基金分配新台幣(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),ACFT48-TF6K,台幣,多重資產型,2016/05/18,RR3,月配,2026/09/01,8.51,-4.32,12.83,26.96,60.11,73.49,15.65,0.44,0.88,2026/07/31,57.205億,4,
景順環球股票收益基金A-穩定月配息股 美元(基金之配息來源可能為本金),CTZJ3-TF6M,美元,股票型,2014/12/10,RR3,月配,2026/09/01,14.77,2.25,7.97,15.33,64.46,170.28,13.96,0.29,1.07,2026/06/30,"1,075.00百萬",3.5,
景順亞洲資產配置基金A-月配息股 美元,CTZG0-TF6N,美元,平衡型,2013/06/19,RR4,月配,2026/09/01,9.18,-4.45,2.85,16.93,39.53,24.32,16.22,0.28,0.86,2026/06/30,160.00百萬,2.5,
景順亞洲資產配置基金A-穩定月配息股 美元(基金之配息來源可能為本金),CTZH1-TF6P,美元,平衡型,2013/08/21,RR4,月配,2026/09/01,5.94,-4.41,2.91,17,39.69,25.81,16.02,0.28,0.85,2026/06/30,160.00百萬,2.5,
景順亞洲動力基金 A-穩定月配息股 美元(基金之配息來源可能為本金),CTZQ5-TF6Q,美元,股票型,2023/06/28,RR5,月配,2026/09/01,14.86,0.01,8.81,33.53,72.04,68.14,19.82,0.43,0.99,2026/06/30,"3,674.00百萬",3,
