標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
聯博美國多重資產收益基金AD類型-新臺幣(月配息)(本基金得投資於非投資等級之高風險債券且配息來源可能為本金)*,ACTI89-AB121,台幣,,2021/01/26,RR3,,2026/09/03,10.33,-0.01,3.46,5.9,28.35,,6.28,0.22,0.56,10.33,2.34億,,正常狀態
安聯目標收益基金(月配息)(本基金主要係投資於高風險非投資等級債券基金且配息來源可能為本金),ACDD41-DS050,台幣,,2015/01/27,RR3,,2026/09/03,5.6947,0.52,1.9,5.76,15.31,,2.63,0.49,0.24,5.6947,2.33億,,已下架但可原定期(不)定額
柏瑞新興市場非投資等級債券基金(月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAI22-AIG02,台幣,,2010/05/17,RR4,,2026/09/03,4.4891,0.96,1.78,5.71,16.4,,4.16,0.31,0.98,4.4891,3.95億,,正常狀態
國泰主順位資產抵押非投資等級債券基金-A累積型(新臺幣)(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTR28-CA012,台幣,,2018/05/04,RR3,,2026/09/03,12.7821,1.8,2.14,5.39,19.34,,2.77,0.42,0.01,12.7821,17.06億,,正常狀態
摩根多元入息成長基金-人民幣(月配息)(本基金之配息來源可能為本金且並無保證收益及配息)*,ACJF126-JF088,人民幣,,2014/10/15,RR3,,2026/09/03,9.994,0.12,2.74,5.35,21.51,,4.95,0.24,0.45,9.994,10.96億,,正常狀態
安聯四季豐收債券組合基金(月配息)(本基金有一定比例之投資包含高風險非投資等級債券基金且配息來源可能為本金),ACDD27-DS053,台幣,,2012/01/02,RR3,,2026/09/03,6.8547,0.21,0.57,5.22,14.11,,2.78,0.41,0.53,6.8547,58.12億,,正常狀態
安聯四季豐收債券組合基金-A類型(累積)-新臺幣(本基金有一定比例之投資包含高風險非投資等級債券基金),ACDD26-DS065,台幣,,2012/01/02,RR3,,2026/09/03,14.078,0.21,0.57,5.22,14.11,,2.78,0.41,0.53,14.078,105.73億,,正常狀態
摩根中國雙息平衡基金(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金且並無保證收益及配息)*,ACJF140-JF103,美元,,2017/10/11,RR4,,2026/09/03,8.7028,-3.06,-2.18,5.12,28.6,,9.54,0.13,0.33,8.7028,3.82億,,正常狀態
安聯目標收益基金(月配息)-美元(本基金主要係投資於高風險非投資等級債券基金且配息來源可能為本金),ACDD43-DS051,美元,,2015/01/27,RR3,,2026/09/03,6.7036,0.09,2.13,5.08,22.87,,3.12,0.35,0.56,6.7036,0.69億,,已下架但可原定期(不)定額
瀚亞2031目標日期收益成長多重資產基金B(月配息)-人民幣(本基金配息來源可能為本金)*,ACCP200-PCA60,人民幣,,2021/02/25,RR3,,2026/09/03,9.3607,-1.48,2.8,4.98,19.08,,4.72,0.23,0.34,9.3607,0.22億,,已下架但不可繼續定期(不)定額
瀚亞2031目標日期收益成長多重資產基金A-人民幣,ACCP199-PCA59,人民幣,,2021/02/25,RR3,,2026/09/03,11.3235,-1.48,2.8,4.98,19.07,,4.72,0.23,0.34,11.3235,1.09億,,已下架但不可繼續定期(不)定額
宏利新興市場非投資等級債券基金(月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAP22-MNU01,台幣,,2010/09/29,RR4,,2026/09/03,4.955,1.06,2.94,4.89,20.95,,3,0.35,0.52,4.955,0.69億,,正常狀態
合庫標普利變特別股收益指數基金B(月配息)-新臺幣(本基金之配息來源可能為本金)*,ACCB35-TCB24,台幣,,2018/03/26,RR4,,2026/09/03,7.57,0.75,0.48,4.85,15.54,,3.64,0.28,0.14,7.57,1.30億,,正常狀態
合庫標普利變特別股收益指數基金A(累積型)-新臺幣*,ACCB34-TCB25,台幣,,2018/03/26,RR4,,2026/09/03,12.89,0.7,0.39,4.8,15.4,,3.56,0.29,0.14,12.89,1.09億,,正常狀態
華南永昌全球投資等級債券證券投資信託基金(累積)-新台幣(本基金配息來源可能為本金),ACYC79-HN010,台幣,,2023/06/05,RR2,,2026/09/03,11.1787,-0.48,-1.17,4.79,10.59,,4.76,0.22,1.02,11.1787,1.38億,,正常狀態
玉山全球消費商機基金,ACML28-PRU05,台幣,,2008/06/13,RR4,,2026/09/03,36.64,1.72,0.14,4.78,44.03,,10.88,0.11,0.39,36.64,7.10億,,正常狀態
東方匯理全球非投資等級債券基金AD(月配息)-美元(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACCF36-PIN33,美元,,2019/05/31,RR3,,2026/09/03,5.96,1.52,2.09,4.74,24.37,,2.04,0.48,0.33,5.96,2.17億,,正常狀態
富蘭克林華美全球非投資等級債券基金 (月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACFT15-FL038,台幣,,2012/06/28,RR3,,2026/09/03,6.2191,1.17,1.12,4.72,17.34,,2.53,0.39,0.35,6.2191,17.30億,,正常狀態
富蘭克林華美全球非投資等級債券基金(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACFT14-FL049,台幣,,2012/06/28,RR3,,2026/09/03,13.7182,1.17,1.12,4.71,17.32,,2.53,0.39,0.35,13.7182,9.75億,,正常狀態
台新優先順位資產抵押非投資等級債券基金A(累積)-新臺幣(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTT55-TS020,台幣,,2019/04/29,RR3,,2026/09/03,11.5682,1.67,1.62,4.61,14.04,,2.82,0.34,0.52,11.5682,0.44億,,正常狀態
安聯四季豐收債券組合基金-B類型(月配息)-美元(本基金有一定比例之投資包含高風險非投資等級債券基金且配息來源可能為本金),ACDD35-DS067,美元,,2016/08/24,RR3,,2026/09/03,8.0165,-0.33,0.65,4.6,21.52,,3.31,0.29,0.88,8.0165,0.55億,,正常狀態
合庫全球非投資等級債券基金(本基金主要係投資於非投資等級之高風險債券)(本投資標的於2023/7/1後不提供新契約連結),ACCB05-TCB10,台幣,,2012/09/13,RR3,,2026/09/03,12.5548,1.02,0.47,4.48,14.5,,2.71,0.34,0.05,12.5548,0.59億,,正常狀態
合庫全球非投資等級債券基金(月配息)(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACCB06-TCB04,台幣,,2012/09/13,RR3,,2026/09/03,6.1764,1.02,0.47,4.47,14.49,,2.71,0.34,0.05,6.1764,4.43億,,正常狀態
兆豐中國A股基金-美元,ACII32-MG002,美元,,2014/08/20,RR5,,2026/09/03,23.15,0.04,-5.55,4.47,18.84,,9.91,0.11,0.14,23.15,9.33億,,正常狀態
華南永昌Shiller US CAPER ETF組合基金(累積)-美元(本基金之配息來源可能為本金),ACYC54-HN007,美元,,2017/07/24,RR4,,2026/09/03,20.91,-0.57,0.34,4.45,28.91,,9.14,0.11,0.92,20.91,0.63億,,正常狀態
安聯四季回報債券組合基金(本基金有相當比重之投資包含高風險非投資等級債券基金),ACDD20-DS033,台幣,,2008/10/17,RR3,,2026/09/03,16.8367,0.6,0.21,4.4,12.4,,2.65,0.34,0.45,16.8367,68.23億,,正常狀態
聯博全球非投資等級債券基金-TA(月配息)(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTI41-AB071,台幣,,2015/04/02,RR3,,2026/09/03,4.65,1.17,1.72,4.38,17.56,,2.32,0.38,0.15,4.65,99.61億,,正常狀態
台新策略優選總回報非投資等級債券基金(月配息)-新臺幣(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACTT88-TS027,台幣,,2020/10/23,RR3,,2026/09/03,8.2077,1.63,1.09,4.36,15.61,,2.9,0.31,0.12,8.2077,0.44億,,正常狀態
施羅德中國非投資等級債券基金(月配息)(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACES17-SD037,台幣,,2012/03/26,RR4,,2026/09/03,5.6164,0.74,1.06,4.32,15.1,,1.74,0.48,0.22,5.6164,0.91億,,正常狀態
台新新興短期非投資等級債券基金B類型(月配息)-新臺幣(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTT70-TS025,台幣,,2020/05/28,RR4,,2026/09/03,7.6659,1.93,3.26,4.26,11.64,,4.23,0.21,-0.59,7.6659,0.16億,,正常狀態
柏瑞全球策略非投資等級債券基金B(月配息)-南非幣(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAI28-AIG30,南非幣,,2014/02/14,RR3,,2026/09/03,6.2515,1.11,2.68,4.2,26.69,,1.79,0.47,0.71,6.2515,0.43億,,正常狀態
聯博全球非投資等級債券基金-T2類型(新臺幣)(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACTI40-AB091,台幣,,2015/04/02,RR3,,2026/09/03,12.27,1.07,1.66,4.16,17.42,,2.41,0.34,0.15,12.27,18.12億,,正常狀態
台新優先順位資產抵押非投資等級債券基金B(月配息)-新臺幣(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTT58-TS021,台幣,,2019/04/29,RR3,,2026/09/03,7.7924,1.67,1.16,4.14,13.52,,3.04,0.27,0.49,7.7924,1.04億,,正常狀態
群益全球策略收益金融債券基金(月配息)-新臺幣(本子基金有一定比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),ACCA241-CPL17,台幣,,2019/10/08,RR2,,2026/09/03,7.7696,0.53,-0.39,4.13,12.47,,3.24,0.22,0.35,7.7696,11.88億,,正常狀態
國泰主順位資產抵押非投資等級債券基金-B月配息(美元)(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTR31-CA013,美元,,2018/05/04,RR3,,2026/09/03,0.2696,0.98,2.37,4.1,21.83,,1.54,0.43,0.63,0.2696,0.97億,,正常狀態
施羅德中國非投資等級債券基金(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACES16-SD036,台幣,,2012/03/26,RR4,,2026/09/03,10.4096,0.82,0.88,4.06,15.01,,1.76,0.46,0.22,10.4096,0.15億,,正常狀態
瀚亞全球非投資等級債券基金(月配息)(本基金配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACCP34-PCA09,台幣,,2010/09/16,RR3,,2026/09/03,7.0843,0.94,1.22,3.89,15.29,,2.15,0.35,0.23,7.0843,5.32億,,正常狀態
瀚亞全球非投資等級債券基金(本投資標的於2023/7/1後不提供新契約連結),ACCP33-PCA13,台幣,,2010/09/16,RR3,,2026/09/03,14.5663,0.94,1.22,3.89,15.28,,2.15,0.35,0.23,14.5663,3.37億,,正常狀態
柏瑞全球策略非投資等級債券基金Bt(月配息)-新臺幣(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAI177-AIG23,台幣,,2017/04/07,RR3,,2026/09/03,4.6879,0.92,1.27,3.88,15.28,,2.53,0.3,0.01,4.6879,5.34億,,正常狀態
柏瑞全球策略非投資等級債券基金(月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACAI20-AIG03,台幣,,2008/08/01,RR3,,2026/09/03,4.9932,0.92,1.27,3.88,15.27,,2.53,0.3,0.46,4.9932,31.88億,,正常狀態
柏瑞全球策略非投資等級債券基金(本投資標的於2023/7/1後不提供新契約連結),ACAI19-AIG09,台幣,,2008/08/01,RR3,,2026/09/03,15.9914,0.92,1.27,3.88,15.27,,2.53,0.3,0.46,15.9914,9.44億,,正常狀態
台新ESG環保愛地球成長基金A-美元,ACTT121-TS031,美元,,2021/08/04,RR4,,2026/09/03,8.4957,-14.57,2.35,3.71,18.54,,21.07,0.06,1.65,8.4957,2.42億,,正常狀態
聯博全球非投資等級債券基金-TA(月配息)-美元(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTI43-AB086,美元,,2015/04/02,RR3,,2026/09/03,7.3,0.44,1.44,3.66,23.45,,2.46,0.28,0.45,7.3,29.17億,,正常狀態
合庫全球非投資等級債券基金A(累積型)-美元(本基金主要係投資於非投資等級之高風險債券)(本投資標的於2023/7/1後不提供新契約連結)*,ACCB10-TCB17,美元,,2014/09/17,RR3,,2026/09/03,13.4414,0.62,0.77,3.66,21.08,,2.1,0.33,0.67,13.4414,0.16億,,正常狀態
元大美元貨幣市場基金-美元,ACYT84-YT036,美元,,2016/03/10,RR1,,2026/09/04,12.6995,0.88,1.75,3.62,13.69,,0.07,10.05,0.001,12.6995,11.01億,,正常狀態
摩根亞洲總合非投資等級債券基金(月配息)-美元(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACJF117-JF084,美元,,2014/03/13,RR4,,2026/09/03,5.1544,1.29,1.44,3.59,20.15,,3.22,0.21,0.78,5.1544,0.15億,,正常狀態
國泰主順位資產抵押非投資等級債券基金-A累積型(美元)(基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTR30-CA011,美元,,2018/05/04,RR3,,2026/09/03,0.4305,0.99,1.87,3.59,21.82,,1.55,0.43,0.63,0.4305,27.74億,,正常狀態
第一金全球非投資等級債券基金B(月配息)(本基金配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACNC3501-FCB01,台幣,,2009/08/06,RR3,,2026/09/03,5.9362,0.39,0.38,3.57,18.35,,3.11,0.22,0.25,5.9362,8.04億,,正常狀態
富邦亞洲非投資等級債券基金(月配息)-新臺幣(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACJS33-JS001,台幣,,2012/04/17,RR4,,2026/09/03,4.141,0.32,0.41,3.45,11.46,,2.46,0.26,0.59,4.141,1.28億,,正常狀態
路博邁全球非投資等級債券基金T(累積)-新臺幣(本基金配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACNB10-NB012,台幣,,2018/07/30,RR3,,2026/09/03,11.83,0.85,0.77,3.41,15.64,,2.13,0.29,0.45,11.83,0.65億,,正常狀態
路博邁全球非投資等級債券基金T(月配息)-新臺幣(本基金配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結),ACNB05-NB013,台幣,,2018/07/30,RR3,,2026/09/03,5.74,0.95,0.88,3.4,15.68,,2.21,0.28,0.5,5.74,4.58億,,正常狀態
合庫全球非投資等級債券基金(月配息)-美元(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACCB11-TCB11,美元,,2014/09/17,RR3,,2026/09/03,7.8229,0.62,0.64,3.38,20.44,,2.05,0.3,0.65,7.8229,0.56億,,正常狀態
合庫全球非投資等級債券基金C類型(月配息)-美元(本基金主要係投資於非投資等級之高風險債券且配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACCB21-TCB15,美元,,2015/09/21,RR3,,2026/09/03,6.9111,0.62,0.67,3.33,20.42,,2.03,0.29,0.65,6.9111,0.11億,,正常狀態
富蘭克林華美全球非投資等級債券基金-美元(月配息)(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACFT20-FL053,美元,,2013/10/21,RR3,,2026/09/03,6.541,0.59,1.01,3.32,21.67,,2.29,0.26,0.95,6.541,1.17億,,正常狀態
台新優先順位資產抵押非投資等級債券基金A(累積)-美元(本基金之配息來源可能為本金)(本投資標的於2023/7/1後不提供新契約連結)*,ACTT56-TS018,美元,,2019/04/29,RR3,,2026/09/03,11.783,1.03,1.44,3.31,16.79,,2.45,0.24,1.02,11.783,0.32億,,正常狀態
中國信託ESG金融收益多重資產證券投資信託基金B類型(月配息)-美元(本基金有相當比重投資於非投資等級之高風險債券且本基金之配息來源可能為本金)*,ACDS121-CT003,美元,,2023/01/17,RR3,,2026/09/03,9.659,3.15,4.97,3.21,19.5,,3.66,0.16,0.2,9.659,0.80億,,正常狀態
宏利中國離岸債券基金(本基金之配息來源可能為本金及收益平準金)(本投資標的於2023/7/1後不提供新契約連結),ACAP26-MNU04,台幣,,2011/11/09,RR3,,2026/09/03,7.7412,0.33,0.05,3.2,8.78,,1.94,0.29,0.18,7.7412,0.04億,,正常狀態
