標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
PIMCO多元收益債券基金-M級類別(穩定月收息股份) - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),PIM91-BCUPM041,美元,債券型,2023/12/19,RR3,月配,2026/09/11,9.02,-1.1,0.19,2.07,-,,2.41,0.1,0.53,-,9400百萬,,
PIMCO多元收益債券基金-M級類別(穩定月收息股份) - (配股數)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),PIM91-BNUPM042,美元,債券型,2023/12/19,RR3,月配,2026/09/11,9.02,-1.1,0.19,2.07,-,,2.41,0.1,0.53,-,9400百萬,,
PIMCO多元收益債券基金-M級類別(月收息強化股份) - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),PIM51-BCUAL015,美元,債券型,2013/12/23,RR3,月配,2026/09/11,7.78,-1.03,0.22,2.06,22.64,,2.37,0.1,0.54,-,9400百萬,,
PIMCO多元收益債券基金-M級類別(月收息強化股份) - (配股數)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),PIM51-BNUPM037,美元,債券型,2013/12/23,RR3,月配,2026/09/11,7.78,-1.03,0.22,2.06,22.64,,2.37,0.1,0.54,-,9400百萬,,
貝萊德亞洲老虎債券基金 A6 美元 (穩定配息) - (配現金)(基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),SHZN1-BCUML021,美元,債券型,2012/04/02,RR3,月配,2026/09/11,8.18,-0.04,-0.3,2,23,,1.82,0.12,0.58,-,"2,067百萬",,
富達基金—歐洲動能基金 (A股歐元),FTZA1-EQEFD027,歐元,股票型,2001/01/15,RR4,年配,2026/09/11,80.05,0.33,7.42,1.95,2.92,,11.4,0.03,0.31,-,1188百萬,,
路博邁投資基金 - NB非投資等級債券基金T月配息類股(澳元) - (配現金)(本基金配息來源可能為本金且主要投資於符合美國Rule 144A規定之私募性質債券),NBT66-BCANB001,澳幣,非投資等級債券,2013/06/27,RR3,月配,2026/09/11,5.06,0.26,1.13,1.95,18.52,,1.96,0.11,1.02,-,"1,724百萬",,
原康健人壽標的＿施羅德環球基金系列－歐元非投資等級債券(本基金之配息來源可能為本金),PYZQ5-CREB1,歐元,非投資等級債券,2012/11/14,RR3,無,2026/09/10,183.1036,0,0.93,1.89,24.5,,1.88,0.1,0.82,-,"3,446百萬",,
原康健人壽標的＿富達基金－歐元現金基金,FTZ54-CFEC0,歐元,貨幣型,1993/09/20,RR1,年配,2026/09/11,8.9136,0.53,0.99,1.89,8.26,,0.07,8.1,0,-,"1,718百萬",,
富達基金—歐元現金基金 (A股歐元),FTZ54-MMEFD012,歐元,貨幣型,1993/09/20,RR1,年配,2026/09/11,8.9136,0.53,0.99,1.89,8.26,,0.07,8.1,0,-,"1,718百萬",,
百達-美元中短期債券-R美元,PIC45-BLUPA016,美元,債券型,2003/09/18,RR2,無,2026/09/10,150.68,0.21,0.27,1.8,12.52,,0.65,0.25,0.32,-,407百萬,,
施羅德環球基金系列－瑞士中小型股票(瑞士法郎)A1-累積,PYZC5-EQCSC014,瑞郎,中小型股,2002/06/28,RR4,無,2026/09/10,52.3063,0.98,5.53,1.8,12.21,,11.98,0.03,0.74,-,119百萬,,
霸菱環球非投資等級債券基金-G類歐元避險累積型(本基金主要投資於符合美國 Rule 144A規定之私募性質債券且配息來源可能為本金),PLB19-BLEBR010,歐元,非投資等級債券,2021/02/03,RR3,無,2026/09/10,113.62,-0.05,0.5,1.78,19.65,,1.68,0.1,0.9,-,"5,434百萬",,
高盛基金III - 高盛亞洲債券基金X股美元(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ANZ94-BNUIG032,美元,債券型,1996/11/26,RR3,無,2026/09/10,1944.97,-0.13,-0.37,1.78,18.75,,1.61,0.1,0.86,-,152百萬,,
瀚亞投資-美國非投資等級債券基金Andmc1(紐幣避險穩定月配) - (配現金)(本基金配息來源可能為本金),IOF66-BCNPC024,紐幣,非投資等級債券,2013/12/09,RR3,月配,2026/09/11,5.335,0.28,0.82,1.76,20.58,,1.37,0.11,0.65,-,364百萬,,
高盛基金III - 高盛亞洲債券基金X股美元(月配息) - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ANZ95-BCUIG002,美元,債券型,2010/10/01,RR3,月配,2026/09/10,54.45,-0.13,-0.37,1.76,18.72,,1.62,0.1,0.86,-,152百萬,,
霸菱環球非投資等級債券基金-G類歐元避險月配息型 - (配現金)(本基金主要投資於符合美國 Rule 144A規定之私募性質債券且配息來源可能為本金),PLB17-BCEBR009,歐元,非投資等級債券,2019/06/11,RR3,月配,2026/09/10,74.79,-0.05,0.49,1.75,19.64,,1.69,0.09,0.9,-,"5,434百萬",,
PIMCO多元收益債券基金-M級類別(月收息股份) - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),PIM41-BCUAL012,美元,債券型,2010/11/30,RR3,月配,2026/09/11,10.27,-1.07,-0.23,1.71,22.21,,2.34,0.06,0.47,-,9400百萬,,
高盛基金III - 高盛亞洲債券基金X股對沖級別澳幣(月配息) - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ANZC7-BCAIG002,澳幣,債券型,2012/08/22,RR3,月配,2026/09/10,124.13,0.04,-0.19,1.7,16.55,,1.53,0.09,0.78,-,152百萬,,
富達基金—全球優質債券基金 (A股C月配息美元) - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),FTZX0-BCUFD039,美元,債券型,2020/04/22,RR2,月配,2026/09/11,7.915,-0.45,0.18,1.62,21.45,,2.27,0.05,0.6,-,"4,219百萬",,
富達基金—全球優質債券基金 (A股C月配息美元) - (配股數)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),FTZX0-BNUFD040,美元,債券型,2020/04/22,RR2,月配,2026/09/11,7.915,-0.45,0.18,1.62,21.45,,2.27,0.05,0.6,-,"4,219百萬",,
原康健人壽標的＿富達基金－全球消費品牌基金(本基金非屬環境、社會、治理相關主題基金),FTZ65-CFES5,歐元,股票型,2000/09/01,RR4,年配,2026/09/11,97.55,1.69,6.88,1.6,18.96,,11.8,0.02,0.69,-,821百萬,,
富達基金－全球消費品牌基金 (A股歐元)(本基金非屬環境、社會、治理相關主題基金),FTZ65-EQEFD021,歐元,股票型,2000/09/01,RR4,年配,2026/09/11,97.55,1.69,6.88,1.6,18.96,,11.8,0.02,0.69,-,821百萬,,
安聯美元非投資等級債券基金-AM穩定月收類股(南非幣避險)-(配現金)(本基金主要投資於符合美國Rule 144A規定之私募性質債券且配息來源可能為本金),TLZD2-BCZAL026,南非幣,非投資等級債券,2017/12/18,RR3,月配,2026/09/11,101.45,-1.9,-1.71,1.58,27.66,,4.32,0.03,1.09,-,342百萬,,
先機環球動態債券基金L類收益股(美元穩定配息) - (配現金)(基金之配息來源可能為本金),SGFC5-BCUCG022,美元,債券型,2018/12/21,RR2,月配,2026/09/10,9.6078,0,-0.54,1.52,14.57,,2.53,0.04,1,-,260百萬,,
先機環球動態債券基金L類收益股(美元) - (配現金)(基金之配息來源可能為本金),SGF68-BCUCG001,美元,債券型,2007/01/16,RR2,月配,2026/09/10,10.5546,0,-0.54,1.52,14.57,,2.53,0.04,1,-,260百萬,,
先機環球動態債券基金L類累積(美元)(基金之配息來源可能為本金),SGF31-BNUCG001,美元,債券型,2002/04/17,RR2,無,2026/09/10,28.1224,0,-0.54,1.52,14.56,,2.53,0.04,1,-,260百萬,,
摩根投資基金－環球非投資等級債券基金 - JPM 環球非投資等級債券(歐元對沖)－ A股(累計)(本基金主要投資於符合美國Rule 144A規定之私募性質債券),JFZ85-BNEJF001,歐元,非投資等級債券,2000/03/24,RR3,無,2026/09/10,269.78,0.02,0.44,1.51,19.72,,1.36,0.06,0.73,-,"5,389百萬",,
晉達環球策略基金 - 環球特許品牌基金 C 收益股份(基金之配息來源可能為本金),GSF34-EQUIN007,美元,股票型,2009/09/30,RR3,年配,2026/09/10,72.1,2.33,2.4,1.51,26.16,,12.96,0.02,0.74,-,8800百萬,,
高盛基金III - 高盛環球非投資等級債券基金X股美元(本基金之配息來源可能為本金且本基金主要投資於符合美國Rule 144A 規定之私募性質債券),ANZ90-BNUIG036,美元,非投資等級債券,2010/07/09,RR3,無,2026/09/10,468.47,0.35,0.46,1.47,21.92,,2.54,0.03,1.27,-,1426百萬,,
摩根基金－環球策略債券基金 - JPM環球策略債券(美元)-A股(每月派息) - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),JFZE3-BCUJF006,美元,固定收益,2015/07/06,RR3,月配,2026/09/10,92.82,-0.57,0.42,1.47,16.84,,1.88,0.04,0.62,-,"1,118百萬",,
摩根基金－環球策略債券基金 - JPM環球策略債券(美元)- A股(累計)(本基金有相當比重投資於非投資等級之高風險債券),JFZE2-BNUJF006,美元,固定收益,2015/07/06,RR3,無,2026/09/10,132.27,-0.56,0.41,1.47,17.09,,1.88,0.04,0.63,-,"1,118百萬",,
高盛基金III - 高盛環球非投資等級債券基金X股美元(月配息) - (配現金)(本基金之配息來源可能為本金且本基金主要投資於符合美國Rule 144A 規定之私募性質債券),ANZ89-BCUIG001,美元,非投資等級債券,2010/07/09,RR3,月配,2026/09/10,37.11,0.36,0.46,1.45,21.94,,2.55,0.03,1.27,-,1426百萬,,
原康健人壽標的＿高盛基金III - 高盛環球非投資等級債券基金（現金配息）(本基金之配息來源可能為本金且本基金主要投資於符合美國Rule 144A 規定之私募性質債券),ANZ89-CCUB3,美元,非投資等級債券,2010/07/09,RR3,月配,2026/09/10,37.11,0.36,0.46,1.45,21.94,,2.55,0.03,1.27,-,1426百萬,,
高盛基金III - 高盛全球永續股票基金X股美元,ANZL12-EQUIG067,美元,股票型,2019/11/26,RR4,無,2026/09/10,451.15,0.72,4.2,1.44,25.56,,10.72,0.02,0.18,-,948百萬,,
施羅德環球基金系列－環球收息債券(澳幣避險)A-月配固定(C) - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),PYZR4-BCASC029,澳幣,債券型,2016/11/30,RR2,月配,2026/09/10,115.4895,-0.23,0,1.42,19.68,,1.56,0.04,0.66,-,"8,355百萬",,
施羅德環球基金系列－環球收息債券(美元)A-月配固定 - (配現金)(本基金有相當比重投資於非投資等級之高風險債券且基金之配息來源可能為本金),PYZR2-BCUSC028,美元,債券型,2016/11/30,RR2,月配,2026/09/10,83.7854,-0.41,-0.23,1.41,21.87,,1.59,0.03,0.71,-,"8,355百萬",,
